Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,BsmtQual_ord,BsmtCond_ord,BsmtExposure_ord,BsmtFinType1_ord,BsmtFinType2_ord,HasBsmt,GarageType_ord,GarageFinish_ord,GarageQual_ord,GarageCond_ord,GarageAge,HasGarage,HouseAge,RemodAge,MoSold_sin,MoSold_cos,HasMisc,FireplaceQu_ord,PoolHighOutlier,Alley_Grvl,Alley_Pave,HasFence,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw
1,60,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,706,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,2,548,Y,0,61,0,0,0,0,0,2008,WD,Normal,208500,3,3,1,6,1,1,4,,3,3,5.0,1,5,5,0.8660254037844386,0.5000000000000001,0,0,0,False,False,0,False,False,False,False
2,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,978,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,2,460,Y,298,0,0,0,0,0,0,2007,WD,Normal,181500,3,3,4,5,1,1,4,,3,3,31.0,1,31,31,0.49999999999999994,-0.8660254037844387,0,3,0,False,False,0,False,False,False,False
3,60,RL,68.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,486,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,2,608,Y,0,42,0,0,0,0,0,2008,WD,Normal,223500,3,3,2,6,1,1,4,,3,3,7.0,1,7,6,-1.0,-1.8369701987210297e-16,0,3,0,False,False,0,False,False,False,False
4,70,RL,60.0,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,216,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,3,642,Y,0,35,272,0,0,0,0,2006,WD,Abnorml,140000,2,4,1,5,1,1,2,,3,3,8.0,1,91,36,0.8660254037844386,0.5000000000000001,0,4,0,False,False,0,False,False,False,False
5,60,RL,84.0,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,655,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,3,836,Y,192,84,0,0,0,0,0,2008,WD,Normal,250000,3,3,3,6,1,1,4,,3,3,8.0,1,8,8,-2.4492935982947064e-16,1.0,0,3,0,False,False,0,False,False,False,False
6,50,RL,85.0,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,732,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,2,480,Y,40,30,0,320,0,0,700,2009,WD,Normal,143000,3,3,1,6,1,1,4,,3,3,16.0,1,16,14,-0.8660254037844386,0.5000000000000001,1,0,0,False,False,1,False,False,True,False
7,20,RL,75.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,1369,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,2,636,Y,255,57,0,0,0,0,0,2007,WD,Normal,307000,4,3,3,6,1,1,4,,3,3,3.0,1,3,2,-0.8660254037844384,-0.5000000000000004,0,4,0,False,False,0,False,False,False,False
8,60,RL,0.0,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,859,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,2,484,Y,235,204,228,0,0,0,350,2009,WD,Normal,200000,3,3,2,5,4,1,4,,3,3,36.0,1,36,36,-0.5000000000000004,0.8660254037844384,1,3,0,False,False,0,False,False,False,False
9,50,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,0,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,2,468,Y,90,0,205,0,0,0,0,2008,WD,Abnorml,129900,2,3,1,1,1,1,2,,2,3,77.0,1,77,58,0.8660254037844387,-0.49999999999999983,0,3,0,False,False,0,False,False,False,False
10,190,RL,50.0,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,851,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,1,205,Y,0,4,0,0,0,0,0,2008,WD,Normal,118000,2,3,1,6,1,1,4,,4,3,69.0,1,69,58,0.49999999999999994,0.8660254037844387,0,3,0,False,False,0,False,False,False,False
